caseid,birthyr,gender4,educ,pid3,ideo5,faminc_new,religpew,race
1240495173,D,B,B,C,B,C,L,B
1240431559,C,B,E,A,B,L,K,A
1235026755,C,A,F,A,B,K,J,A
1240489041,C,B,F,B,D,K,L,A
1240280699,D,B,D,B,D,G,K,A
1243805855,D,B,D,B,E,M,B,C
1255867599,B,A,E,C,D,E,A,A
1244609507,C,B,D,B,C,I,L,E
1232901343,B,A,D,B,D,E,A,A
1239708297,B,A,E,B,D,F,A,A
1242502419,B,A,E,A,C,M,A,A
1238734205,B,A,A,A,C,B,L,G
1246402981,B,B,B,A,C,G,B,C
1243819879,B,A,F,C,C,J,K,A
1232593445,B,A,E,B,D,H,A,A
1238835965,B,B,D,A,C,B,A,B
1237465331,B,A,C,C,C,J,A,A
1236786909,B,B,B,A,C,H,A,A
1240352297,A,A,E,A,B,I,B,A
1242860853,B,A,E,B,D,K,B,A
1246594737,C,A,E,C,D,G,A,A
1242387381,B,A,B,B,E,E,A,A
1237559487,A,A,C,C,D,H,K,A
1237955145,C,A,E,C,D,K,G,A
1244870453,B,A,B,B,C,B,A,A
1256295341,C,A,E,B,D,J,A,A
1240349689,D,A,F,A,B,N,I,A
1238943343,A,A,C,C,C,J,A,A
1239677113,B,B,C,B,E,C,L,A
1242454599,B,B,F,C,D,J,L,A
1244729431,C,B,B,B,E,F,A,A
1237180573,D,B,B,A,C,A,K,A
1242680297,D,B,E,C,A,G,I,A
1243598207,B,A,F,B,E,H,K,A
1232890971,B,A,E,B,D,J,A,A
1256153545,B,A,F,A,A,E,B,A
1234692335,D,B,D,A,B,L,I,A
1242429051,B,B,D,C,D,E,K,A
1248444041,C,B,E,C,B,N,F,B
1236762371,B,A,B,A,B,B,K,A
1242965669,B,A,F,A,B,H,K,A
1246577709,B,A,E,C,E,J,J,A
1239076509,D,B,F,A,C,D,A,A
1239926521,D,A,E,C,C,L,B,A
1237526649,B,B,E,A,C,N,E,A
1238622721,D,A,E,C,D,J,B,A
1238944301,C,B,D,B,C,C,A,A
1243709949,B,B,F,A,A,M,K,A
1238768881,C,A,F,A,C,I,A,A
1237294605,B,A,E,B,D,J,A,A
1241206341,C,A,E,C,C,K,J,B
1237949669,B,B,E,A,B,K,B,A
1238768217,B,A,C,C,C,K,A,A
1242262373,B,A,E,D,E,I,A,A
1235647809,B,B,B,A,B,I,K,A
1242970415,C,A,E,B,E,L,A,A
1240607105,B,A,C,A,B,E,K,A
1235826253,B,A,B,B,D,K,A,A
1237564475,B,A,E,A,B,L,A,A
1255756307,B,A,F,C,E,K,A,A
1239074583,B,A,F,B,D,I,A,A
1240738963,A,A,C,C,C,F,J,A
1238243551,A,A,E,C,D,J,D,A
1247685043,B,B,B,A,B,C,K,B
1241343997,C,A,E,C,B,J,A,B
1240462531,C,A,F,C,C,E,L,A
1237830915,B,A,C,C,C,B,K,F
1237607243,B,B,C,C,C,D,E,A
1246796633,B,B,C,B,E,B,C,E
1236869491,B,A,D,C,C,K,F,H
1232309619,B,A,C,B,E,H,A,A
1238288187,B,B,C,A,A,D,J,A
1242860899,B,A,E,C,C,C,J,A
1238286903,B,A,E,C,C,J,L,A
1236121273,A,A,C,C,C,I,B,A
1255852895,B,A,E,C,E,G,A,A
1241167243,B,B,D,B,D,D,A,A
1232898869,B,A,C,C,D,D,A,A
1249716459,A,B,E,A,C,D,A,B
1243729331,B,A,E,A,B,J,J,A
1238847067,B,D,F,C,D,H,L,A
1246488663,B,B,D,B,C,C,A,A
1240490405,B,A,D,B,E,K,A,G
1245176503,B,B,F,C,D,H,E,A
1235848073,B,A,D,A,B,E,A,A
1242476031,A,A,D,C,C,E,B,D
1239708137,B,A,F,C,B,D,K,A
1232594091,B,B,F,A,B,E,A,A
1242876841,A,A,C,A,C,J,A,B
1242505865,B,B,E,A,B,G,E,A
1237628605,B,B,D,A,C,F,A,A
1252140979,C,A,C,C,D,C,A,A
1242455827,C,B,C,B,E,E,K,A
1247684847,B,B,E,A,B,E,A,B
1236652307,B,B,B,B,A,C,L,A
1242918183,B,B,E,A,B,L,K,A
1243078501,B,A,E,B,E,C,A,A
1241574337,B,B,B,A,C,C,A,B
1242880519,C,B,C,B,E,E,A,A
1255906473,C,A,E,B,D,J,J,A
1245222715,B,B,C,B,C,F,A,A
1240375827,B,A,E,B,E,C,L,A
1238081651,D,B,E,B,D,G,A,C
1238025939,D,B,E,A,C,A,K,B
1236890029,C,B,E,B,E,B,A,A
1239083611,D,B,E,C,A,E,A,A
1237594499,C,A,C,A,B,C,B,C
1256015251,B,A,F,B,E,K,K,A
1236784167,B,A,E,C,C,I,J,A
1235370801,B,A,C,B,D,B,A,A
1240190727,B,B,B,C,B,E,J,F
1238135347,C,B,D,C,D,I,A,A
