caseid,birthyr,gender4,race,educ,region,ideo5,religpew,faminc_new,pid3,327a,327b,327d,330a,330b,330c,331a,331b,331d,332a,332b,332c,332d,332e,332f,332g,333a,333b,333c,333d,334a,334b,334c,334d,334e,334f,334g,334h,355a,355e
1237854489,B,B,A,F,C,E,A,I,B,B,A,A,A,B,A,B,A,A,B,A,B,A,A,B,A,B,B,B,B,B,B,A,B,B,A,B,B,B,B
1255849521,B,A,A,C,D,B,I,H,A,A,A,A,B,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,B,B,B,A,A,A,A,A,B
1241111407,B,B,A,E,D,D,A,C,C,B,A,A,A,B,A,B,A,A,B,B,A,A,A,A,B,B,B,B,B,A,A,A,B,B,A,A,B,B,B
1245400015,B,B,A,C,C,B,K,B,A,A,A,B,A,A,B,A,A,A,A,B,B,B,B,B,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A
1238817005,B,B,A,C,B,B,K,L,C,A,A,A,A,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,B,A,A,B,B,A,A,B,A,A,B
1238900081,B,A,B,B,C,A,A,M,C,A,A,A,A,A,B,A,A,B,A,B,A,B,B,B,A,A,B,A,A,A,A,B,A,A,A,A,A,A,B
1238132009,C,C,A,D,B,A,K,H,A,A,A,A,B,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
1247684733,B,B,B,D,C,C,A,G,C,A,A,A,A,A,B,A,A,A,B,A,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B
1241069317,C,B,A,D,D,A,J,B,A,A,A,A,A,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
1242821545,B,B,A,F,D,A,K,G,A,A,A,A,B,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A
1238216385,B,B,A,F,C,A,K,I,A,A,A,A,B,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
1232898399,B,B,E,E,B,B,A,L,C,A,A,A,B,A,B,A,B,B,A,B,B,B,B,B,B,A,A,A,B,A,A,B,A,A,A,A,A,A,B
1236890733,B,A,A,F,D,C,I,E,C,B,A,A,A,A,B,A,A,A,A,B,B,B,B,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,B
1242767643,B,A,A,E,C,C,A,I,C,B,A,B,B,A,B,B,A,B,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B
1240230661,C,A,A,D,B,B,B,N,A,A,A,A,A,A,B,A,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,B,A,A,B
1241037897,D,B,A,C,A,E,D,A,B,B,B,A,B,B,A,B,A,A,B,A,A,A,A,A,A,B,B,B,B,B,A,A,B,B,B,A,A,B,B
1239365431,B,B,A,B,C,E,L,D,B,A,A,B,B,A,B,B,A,A,B,B,A,A,A,A,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B
1239736413,B,B,A,F,C,E,B,K,B,B,A,A,A,A,B,B,A,A,B,B,A,A,A,B,B,B,B,B,B,B,A,A,B,B,A,B,A,B,B
1236815145,B,A,A,B,C,D,A,J,B,B,A,B,A,B,A,B,A,A,B,A,A,B,A,B,B,B,B,B,B,B,A,A,B,B,A,B,A,B,B
1234990657,B,A,A,E,B,A,J,C,D,A,A,A,A,B,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B
1243854421,A,B,A,E,D,B,I,D,A,A,A,A,B,A,B,B,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,B,A,A,B
1242665527,C,B,A,E,B,B,I,D,A,A,A,A,B,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
1232442083,B,A,A,F,C,C,B,K,D,B,A,B,B,B,A,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,A,A,B,A,B,B,A,B,B
1239650851,B,A,A,E,B,C,J,K,A,B,A,A,A,B,B,A,A,A,A,B,A,B,B,B,B,B,A,A,B,B,B,A,B,A,A,B,A,A,A
1255812957,B,A,G,C,B,D,A,J,C,B,A,A,A,B,A,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B
1237434895,B,A,A,B,C,C,A,E,C,A,A,A,B,A,B,A,A,B,A,A,A,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A
1245174043,A,B,A,F,C,B,K,H,A,A,A,A,B,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B
1243945363,C,B,A,F,D,A,J,L,A,A,A,A,A,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B
1243753477,A,B,A,E,A,C,B,B,C,B,A,A,B,A,B,A,A,B,B,A,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A
1243803349,B,A,A,C,B,D,A,I,B,B,A,A,A,B,A,B,A,A,B,A,A,A,A,B,B,B,B,B,B,A,A,A,B,B,B,B,A,B,B
1237439219,B,A,A,B,A,E,A,E,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,A,A,A,A,A,A,A,B,A,A,B,A,A,A
1234894013,B,A,A,E,A,B,B,I,C,B,A,A,A,B,A,B,A,A,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,B,B
1236141841,D,B,A,B,C,D,A,A,B,B,A,A,A,A,B,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,A,A,B,B,A,A,B,B,B
1236779385,D,B,A,D,A,E,B,I,B,B,B,A,A,B,B,B,A,A,B,A,A,A,A,A,B,A,B,B,A,B,B,A,B,B,A,A,A,B,B
1243909695,B,B,A,C,D,E,A,D,B,B,A,B,A,B,A,B,A,A,A,A,B,B,B,B,A,B,A,B,A,B,A,A,B,B,A,B,A,B,B
1236892749,B,B,A,F,D,B,L,B,C,B,A,A,B,A,B,B,A,A,A,B,B,B,B,B,B,A,A,A,A,A,A,B,B,A,A,B,A,A,A
1238324063,B,B,A,B,B,A,J,E,A,A,A,A,B,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,B,A,A,B,B,A,A,A,A,A,B
1234831387,B,B,A,F,C,D,A,J,B,B,A,A,A,B,B,B,A,A,B,A,A,A,A,B,B,A,A,B,B,B,A,A,B,A,A,B,A,B,B
