year,caseid,birthyr,gender4,sexuality,race,educ,comptype,votereg,inputstate,region,361,cit1,immstat,urbancity,ideo5,child18,employ,investor,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,marstat,union,unionhh,ownhome,newsint,faminc_new,milstat_1,milstat_2,milstat_3,milstat_4,healthins_1,healthins_2,healthins_3,healthins_4,healthins_5,healthins_6
24,1241524999,3,1,1,1,2,1,1,34,1,6.0,1.0,5,4,4,2,2.0,1.0,2,2,5.0,6,11,5,3,3,2,2,1,2,2,2,2,1,2,2,2,2,2
24,1239655377,4,2,1,4,6,3,1,26,2,6.0,1.0,4,2,2,2,1.0,1.0,2,4,6.0,7,11,6,1,1,1,1,6,2,2,2,2,1,2,2,2,2,2
24,1236632893,2,2,1,1,6,3,1,32,4,6.0,1.0,3,1,3,2,5.0,1.0,2,4,6.0,8,11,3,2,3,1,1,6,2,2,2,1,2,2,2,1,2,2
24,1236208691,3,1,1,1,3,1,1,16,4,2.0,1.0,5,2,3,1,1.0,1.0,2,1,2.0,1,1,1,3,3,1,1,11,2,2,2,1,1,2,2,2,2,2
24,1245174127,2,1,1,7,5,3,1,56,4,6.0,1.0,5,4,5,2,5.0,1.0,1,1,1.0,1,1,1,3,3,1,1,6,2,2,1,2,2,2,2,1,2,2
24,1237854489,2,2,1,1,6,3,1,47,3,4.0,1.0,4,4,5,2,5.0,2.0,2,1,2.0,1,1,1,3,2,1,1,9,2,2,2,1,1,2,2,2,2,2
24,1255849521,2,1,3,1,3,3,1,4,4,6.0,1.0,5,1,2,2,5.0,1.0,2,4,6.0,7,9,1,3,3,1,1,8,2,2,2,1,2,1,2,2,2,2
24,1241111407,2,2,1,1,5,1,1,8,4,5.0,1.0,5,1,4,2,2.0,2.0,1,1,3.0,1,1,3,3,3,2,1,3,2,2,2,1,2,1,2,2,2,2
24,1245400015,2,2,1,1,3,3,1,48,3,6.0,1.0,3,2,2,2,7.0,2.0,2,4,6.0,3,11,3,3,3,2,1,2,2,2,2,1,2,2,2,2,2,1
24,1238817005,2,2,1,1,3,1,1,26,2,6.0,1.0,5,2,2,2,1.0,1.0,2,4,6.0,7,11,1,3,1,1,2,12,2,2,2,1,1,2,2,2,2,2
24,1238900081,2,1,1,2,2,3,1,45,3,6.0,1.0,5,4,1,2,5.0,2.0,2,1,6.0,1,1,1,2,2,1,1,13,2,2,1,2,1,2,2,2,2,2
24,1238132009,3,3,2,1,4,3,1,19,2,5.0,1.0,4,2,1,2,1.0,2.0,2,4,6.0,7,11,1,3,3,2,1,8,2,2,2,2,1,2,2,2,2,2
24,1247684733,2,2,1,2,4,1,1,51,3,6.0,1.0,5,2,3,2,2.0,2.0,1,1,2.0,6,1,3,2,2,1,4,7,2,2,2,1,2,1,2,2,2,2
24,1241069317,3,2,1,1,4,3,1,16,4,6.0,1.0,5,2,1,2,2.0,1.0,2,4,6.0,7,10,5,3,2,2,1,2,2,2,1,1,2,2,2,1,2,2
24,1242821545,2,2,1,1,6,3,1,6,4,6.0,1.0,3,2,1,2,1.0,2.0,2,4,5.0,7,11,3,3,3,1,1,7,2,2,2,1,1,2,2,2,2,2
24,1238216385,2,2,2,1,6,1,1,24,3,6.0,1.0,5,4,1,2,5.0,2.0,2,4,6.0,7,11,4,3,3,1,1,9,2,2,2,1,1,1,2,2,2,2
24,1232029759,1,2,6,4,6,3,1,6,4,6.0,1.0,1,1,4,2,5.0,1.0,1,1,2.0,1,1,4,2,3,1,2,97,2,2,2,1,2,1,2,2,2,2
24,1232898399,2,2,1,5,5,3,1,17,2,6.0,1.0,5,1,2,2,5.0,1.0,1,1,4.0,1,1,5,3,3,1,1,12,2,2,2,1,2,1,2,2,2,2
24,1236890733,2,1,3,1,6,3,1,41,4,6.0,1.0,3,1,3,2,5.0,1.0,2,4,6.0,7,9,1,3,3,1,1,5,2,2,2,2,2,1,2,2,2,2
24,1242767643,2,1,1,1,5,3,1,48,3,6.0,1.0,4,3,3,2,4.0,1.0,2,3,5.0,6,1,1,3,3,1,2,9,2,2,2,1,2,1,2,2,2,2
24,1240230661,3,1,1,1,4,1,1,27,2,6.0,1.0,5,2,2,2,1.0,1.0,2,2,5.0,6,2,1,3,3,1,1,14,2,2,2,2,1,2,2,2,2,2
24,1241037897,4,2,1,1,3,1,1,36,1,6.0,1.0,4,1,5,2,6.0,2.0,2,4,6.0,7,4,5,3,3,2,2,1,2,2,2,2,2,1,2,2,2,2
24,1239365431,2,2,1,1,2,3,1,45,3,6.0,1.0,4,4,5,2,5.0,2.0,1,1,2.0,4,12,1,3,3,1,2,4,2,2,2,1,2,1,2,2,2,2
24,1239736413,2,2,1,1,6,1,1,47,3,5.0,1.0,5,4,5,2,5.0,1.0,1,1,2.0,1,2,1,3,3,1,1,11,2,2,1,1,2,1,2,2,2,2
24,1241150727,2,2,1,1,6,1,1,47,3,5.0,1.0,5,2,2,2,5.0,1.0,2,4,6.0,3,10,1,3,3,1,1,97,2,2,2,1,2,1,2,1,2,2
24,1236815145,2,1,1,1,2,1,1,24,3,5.0,1.0,3,2,4,2,5.0,1.0,1,1,5.0,1,1,1,3,3,2,2,10,2,2,2,1,2,1,2,1,2,2
24,1234990657,2,1,1,1,5,1,1,17,2,6.0,1.0,5,3,1,2,5.0,2.0,2,4,6.0,7,10,1,3,3,1,1,3,2,2,2,2,2,1,2,2,2,2
24,1243854421,1,2,1,1,5,3,1,41,4,6.0,1.0,3,5,2,2,5.0,2.0,2,4,6.0,7,9,6,3,3,1,1,4,2,2,2,2,2,1,2,2,2,2
24,1242665527,3,2,1,1,5,1,1,26,2,6.0,1.0,4,2,2,2,2.0,2.0,2,4,5.0,7,9,6,2,3,2,1,4,2,2,2,1,2,2,2,1,2,2
24,1232442083,2,1,1,1,6,3,1,48,3,4.0,1.0,4,2,3,2,5.0,2.0,2,1,3.0,3,2,4,3,3,1,1,11,2,2,1,2,2,1,2,2,2,2
24,1239650851,2,1,1,1,5,3,1,20,2,6.0,1.0,5,2,3,2,1.0,1.0,2,3,5.0,6,10,1,2,2,1,2,11,2,2,2,1,1,2,2,2,2,2
24,1240461335,2,2,1,1,3,1,1,17,2,6.0,1.0,5,4,5,1,2.0,2.0,1,1,1.0,1,1,1,1,3,1,1,97,2,2,2,1,2,2,2,1,2,2
24,1255812957,2,1,1,7,3,1,1,18,2,6.0,1.0,5,2,4,2,9.0,2.0,1,1,4.0,1,1,1,2,3,1,1,10,2,2,1,2,2,1,2,2,2,2
24,1240460217,2,2,1,1,3,3,1,4,4,5.0,1.0,1,4,4,2,5.0,1.0,2,2,5.0,3,2,1,3,3,1,1,97,2,2,2,2,2,2,2,1,2,2
