,caseid,year__mode_match,pid3__mode_match,300_1__mode_match,300_2__mode_match,300_3__mode_match,300_4__mode_match,302__mode_match,303__mode_match,305_1__mode_match,305_2__mode_match,305_3__mode_match,305_4__mode_match,305_5__mode_match,305_6__mode_match,305_7__mode_match,305_9__mode_match,305_10__mode_match,305_11__mode_match,305_12__mode_match,305_13__mode_match,307__mode_match,309e__mode_match,309dx_1__mode_match,309dx_2__mode_match,309dx_3__mode_match,309dx_4__mode_match,309dx_5__mode_match,309dx_6__mode_match,309dx_7__mode_match,309dx_8__mode_match,310a__mode_match,310b__mode_match,320a__mode_match,320b__mode_match,320c__mode_match,327a__mode_match,327b__mode_match,327d__mode_match,330a__mode_match,330b__mode_match,330c__mode_match,331a__mode_match,331b__mode_match,331d__mode_match,332a__mode_match,332b__mode_match,332c__mode_match,332d__mode_match,332e__mode_match,332f__mode_match,332g__mode_match,333a__mode_match,333b__mode_match,333c__mode_match,333d__mode_match,334a__mode_match,334b__mode_match,334c__mode_match,334d__mode_match,334e__mode_match,334f__mode_match,334g__mode_match,334h__mode_match,355a__mode_match,355e__mode_match,363__mode_match,overall_mode_match_mean
58,1236655675,True,False,True,True,False,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,,False,True,True,False,False,,False,True,False,True,0.5967741935483871
59,1238395021,True,False,False,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,False,,True,True,True,False,,True,True,True,False,,True,False,False,,True,False,True,True,,False,True,True,False,True,True,True,True,True,True,False,True,0.7213114754098361
60,1244012401,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,False,,False,False,True,True,,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,True,,True,False,True,True,0.5873015873015873
61,1240169421,True,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,False,False,,True,True,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,,True,False,True,True,True,True,True,True,True,True,False,True,0.640625
62,1240350755,True,,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,True,False,False,False,True,False,True,True,True,True,True,True,True,False,True,,,False,False,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,False,True,0.6825396825396826
63,1236583573,True,True,True,True,True,,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,,False,True,True,True,True,True,True,True,True,False,True,,True,False,False,True,True,True,False,True,True,True,True,True,True,0.8412698412698413
64,1239577159,True,False,True,,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,False,False,True,True,True,False,,True,False,True,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,0.8064516129032258
65,1238514437,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,True,False,False,False,True,False,False,,True,True,True,True,False,True,True,True,True,True,,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,0.75
66,1236390527,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False,True,,True,False,True,False,,True,False,True,False,True,,True,True,False,True,True,True,False,True,True,True,False,True,,False,True,0.7540983606557377
67,1237657397,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,,True,0.8307692307692308
