,caseid,year__match_rate,pid3__match_rate,300_1__match_rate,300_2__match_rate,300_3__match_rate,300_4__match_rate,302__match_rate,303__match_rate,305_1__match_rate,305_2__match_rate,305_3__match_rate,305_4__match_rate,305_5__match_rate,305_6__match_rate,305_7__match_rate,305_9__match_rate,305_10__match_rate,305_11__match_rate,305_12__match_rate,305_13__match_rate,307__match_rate,309e__match_rate,309dx_1__match_rate,309dx_2__match_rate,309dx_3__match_rate,309dx_4__match_rate,309dx_5__match_rate,309dx_6__match_rate,309dx_7__match_rate,309dx_8__match_rate,310a__match_rate,310b__match_rate,320a__match_rate,320b__match_rate,320c__match_rate,327a__match_rate,327b__match_rate,327d__match_rate,330a__match_rate,330b__match_rate,330c__match_rate,331a__match_rate,331b__match_rate,331d__match_rate,332a__match_rate,332b__match_rate,332c__match_rate,332d__match_rate,332e__match_rate,332f__match_rate,332g__match_rate,333a__match_rate,333b__match_rate,333c__match_rate,333d__match_rate,334a__match_rate,334b__match_rate,334c__match_rate,334d__match_rate,334e__match_rate,334f__match_rate,334g__match_rate,334h__match_rate,355a__match_rate,355e__match_rate,363__match_rate,overall_match_rate_mean
1168,1243803121,1.0,0.4,0.56,1.0,0.72,0.72,0.36,0.56,1.0,0.96,1.0,0.96,0.96,1.0,1.0,1.0,0.2,0.64,0.84,0.96,0.64,0.32,0.6,0.08,0.52,1.0,0.92,1.0,0.92,0.88,0.88,0.88,0.36,0.24,0.0,0.8,0.96,0.44,0.68,0.56,0.52,0.64,0.32,0.56,0.44,0.44,0.68,0.56,0.52,0.92,0.84,0.48,0.44,0.36,0.48,0.84,0.96,0.6,0.76,0.84,0.76,0.72,0.56,0.4,0.76,0.72,0.6763636363636363
1169,1244493869,1.0,0.32,0.76,0.24,0.64,0.72,0.52,0.12,1.0,0.88,1.0,0.96,1.0,0.96,0.16,0.96,0.84,0.48,0.04,0.92,0.4,0.16,0.76,0.2,0.52,1.0,0.96,1.0,1.0,0.92,0.04,0.96,0.56,0.44,0.12,0.56,0.92,0.64,0.4,0.72,0.32,0.72,0.48,0.52,0.52,0.44,0.4,0.6,0.64,0.96,0.24,0.72,0.6,0.56,0.4,0.84,1.0,0.56,0.36,0.76,0.76,0.44,0.76,0.6,0.48,0.16,0.6157575757575755
1170,1235722927,1.0,0.0,0.72,0.4,0.52,0.4,0.12,0.24,0.96,1.0,1.0,0.92,1.0,1.0,1.0,0.96,0.92,0.64,0.08,0.84,0.68,0.28,0.68,0.8,0.52,1.0,0.92,0.96,0.96,0.92,0.84,0.84,0.44,0.4,0.48,0.68,0.88,0.56,0.68,0.4,0.56,0.56,0.72,0.56,0.64,0.6,0.72,0.6,0.52,0.84,0.64,0.4,0.48,0.36,0.48,0.64,0.92,0.6,0.8,0.4,0.28,0.72,0.72,0.625,0.7083333333333334,0.72,0.6583838383838384
1171,1236892307,1.0,0.16,0.72,0.64,0.76,0.84,0.16,0.52,0.96,0.8,1.0,1.0,1.0,1.0,0.92,0.96,0.84,0.44,0.84,0.96,0.44,0.32,0.68,0.84,0.44,1.0,0.84,0.96,0.92,0.92,0.92,0.84,0.16,0.52,0.4,0.48,0.92,0.36,0.56,0.24,0.68,0.32,0.48,0.6,0.72,0.76,0.44,0.32,0.36,0.84,0.48,0.24,0.36,0.4,0.4,0.2,0.96,0.4,0.64,0.2,0.72,0.36,0.28,0.36,0.48,0.04,0.6109090909090908
1172,1237145867,1.0,0.48,0.76,0.36,0.24,0.84,0.52,0.6,1.0,0.8,0.0,1.0,1.0,1.0,0.92,0.96,0.84,0.4,0.8,0.96,0.36,0.36,0.68,0.84,0.48,1.0,0.88,0.96,0.92,0.92,0.92,0.84,0.72,0.48,0.32,0.52,0.96,0.64,0.6,0.76,0.72,0.68,0.52,0.4,0.76,0.76,0.52,0.68,0.64,0.84,0.52,0.76,0.68,0.6,0.6,0.76,0.96,0.64,0.4,0.8,0.76,0.64,0.72,0.64,0.52,0.64,0.693939393939394
1173,1238800699,1.0,0.2,0.76,0.16,0.56,0.64,0.36,0.12,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0,0.84,0.36,1.0,0.84,0.48,0.2,0.36,0.88,0.56,1.0,1.0,1.0,1.0,0.8,0.8,0.12,0.08,0.24,0.36,0.56,0.88,0.64,0.44,0.6,0.68,0.6,0.72,0.4,0.72,0.72,0.44,0.52,0.64,0.88,0.76,0.72,0.68,0.64,0.76,0.64,1.0,0.6,0.68,0.8,0.88,0.56,0.24,0.6,0.68,0.04,0.656969696969697
1174,1235849913,1.0,0.16,0.88,0.56,0.6,0.72,0.28,0.56,1.0,0.96,1.0,0.92,1.0,0.96,0.88,1.0,0.92,0.6,0.88,0.88,0.48,0.28,0.28,0.84,0.56,0.96,0.92,1.0,0.92,0.84,0.72,0.72,0.28,0.4,0.52,0.48,0.88,0.52,0.28,0.52,0.48,0.48,0.64,0.44,0.4,0.6,0.68,0.44,0.6,0.88,0.48,0.52,0.44,0.56,0.32,0.24,0.96,0.6,0.8,0.4,0.24,0.56,0.28,0.52,0.72,0.68,0.6381818181818182
1175,1246702301,1.0,0.24,0.72,0.24,0.56,0.64,0.12,0.16,1.0,1.0,1.0,0.92,1.0,1.0,0.92,0.96,0.84,0.72,0.92,0.96,0.52,0.4,0.32,0.84,0.36,1.0,1.0,1.0,1.0,0.96,0.92,0.92,0.2,0.24,0.04,0.52,0.96,0.36,0.52,0.12,0.28,0.28,0.6,0.4,0.68,0.64,0.32,0.64,0.6,0.04,0.48,0.24,0.16,0.4,0.28,0.76,0.96,0.44,0.6,0.12,0.16,0.44,0.20833333333333334,0.32,0.32,0.64,0.5777020202020202
1176,1237647735,1.0,0.4,0.88,0.56,0.4,0.72,0.24,0.24,1.0,0.96,1.0,0.92,1.0,0.96,0.88,1.0,0.92,0.6,0.88,0.88,0.04,0.4,0.72,0.84,0.44,0.96,0.92,1.0,0.92,0.84,0.72,0.72,0.44,0.36,0.12,0.52,0.88,0.48,0.28,0.48,0.48,0.52,0.64,0.56,0.6,0.6,0.32,0.56,0.4,0.12,0.48,0.48,0.56,0.44,0.68,0.76,0.96,0.4,0.2,0.6,0.76,0.56,0.72,0.48,0.28,0.0,0.6163636363636364
1177,1237558969,1.0,0.4,0.6,1.0,0.32,0.28,0.2,0.56,1.0,0.96,1.0,0.96,0.96,1.0,1.0,1.0,0.8,0.4,0.84,0.96,0.6,0.12,0.36,0.88,0.48,1.0,0.92,1.0,0.92,0.88,0.88,0.88,0.52,0.24,0.2,0.76,0.96,0.52,0.68,0.4,0.56,0.32,0.64,0.56,0.48,0.56,0.64,0.52,0.44,0.92,0.84,0.52,0.48,0.6,0.48,0.16,0.04,0.6,0.76,0.12,0.8,0.72,0.4,0.56,0.76,0.72,0.646060606060606
