,caseid,community,match_rate
384,1238287153,11,0.9
385,1242860153,9,1.0
386,1237785509,12,1.0
387,1246450301,2,0.9
388,1239426853,4,1.0
389,1234861741,14,0.9
390,1241360979,15,1.0
391,1247685451,1,1.0
392,1238170495,6,1.0
393,1232771081,8,1.0
394,1242639717,2,1.0
395,1242525941,4,1.0
396,1250987963,10,0.9
397,1238288673,3,1.0
398,1255888239,1,1.0
399,1238915281,14,1.0
400,1235688683,9,1.0
401,1238838969,8,0.9
402,1244008609,13,1.0
403,1243861749,12,1.0
404,1239632673,9,1.0
405,1238574401,9,0.9
406,1238687405,13,
407,1234990381,12,1.0
408,1246720413,3,1.0
409,1237026907,3,1.0
410,1242552289,1,1.0
411,1255850519,3,1.0
412,1239808525,8,1.0
413,1241123529,3,1.0
414,1237647355,14,
415,1255887953,11,1.0
416,1243765119,13,0.9
417,1243837477,6,1.0
418,1236956107,6,1.0
419,1238940675,13,0.9
420,1257433319,1,1.0
421,1249278563,13,0.9
422,1242595739,13,0.9
423,1238087609,7,1.0
424,1236811877,10,1.0
425,1237703161,1,1.0
426,1251567459,4,1.0
427,1237955553,4,
428,1240758501,1,1.0
429,1237331465,11,0.9
430,1240963147,0,1.0
431,1241288113,14,1.0
432,1239356449,4,1.0
433,1237899931,13,
434,1237854425,13,0.9
435,1237202515,14,0.9
436,1238033043,8,1.0
437,1238854795,10,1.0
438,1235864991,7,1.0
439,1239645769,9,1.0
440,1238123093,8,1.0
441,1236890427,12,1.0
442,1238334911,0,0.9
443,1236491179,9,1.0
444,1241238557,2,1.0
445,1243892483,6,1.0
446,1250290703,6,1.0
447,1244081909,6,1.0
448,1237206537,3,1.0
449,1250475137,1,0.9
450,1240022739,13,1.0
451,1237657535,14,0.9
452,1237499541,14,0.9
453,1239038453,12,1.0
454,1239162081,11,1.0
455,1239330015,2,1.0
456,1232779985,5,1.0
457,1243838759,9,1.0
458,1246143609,11,1.0
459,1241149995,13,1.0
460,1241197463,15,1.0
461,1237428423,14,1.0
462,1236754075,8,1.0
463,1255812587,1,0.9
464,1232811883,11,1.0
465,1235680533,6,1.0
466,1237654467,11,1.0
467,1247688153,13,1.0
468,1236864247,6,0.9
469,1238118625,0,0.9
470,1238910753,4,1.0
471,1238171595,2,1.0
472,1240730201,11,1.0
473,1239001863,13,1.0
474,1236622755,8,1.0
475,1237246961,6,0.9
476,1238851655,13,1.0
477,1240087973,3,1.0
478,1240538867,5,1.0
479,1238446417,9,1.0
480,1242430601,10,1.0
481,1241496145,5,1.0
482,1240183681,13,1.0
483,1237495111,6,1.0
484,1240379239,4,1.0
485,1240404159,2,1.0
486,1257002089,15,1.0
487,1237372171,11,1.0
488,1239281629,4,1.0
489,1244744779,1,0.9
490,1251529305,13,1.0
491,1249778341,3,1.0
492,1240349635,3,1.0
493,1238346841,11,1.0
494,1238773959,6,0.9
495,1236456091,7,1.0
496,1235837697,11,1.0
497,1245141765,10,1.0
498,1246543677,12,1.0
499,1239012693,0,0.9
500,1237807433,13,1.0
501,1236777429,2,1.0
502,1238019637,11,1.0
503,1237886241,9,1.0
504,1237032447,5,0.9
505,1244008853,3,0.9
506,1240462011,1,1.0
507,1236839797,3,1.0
508,1247684961,7,1.0
509,1238178723,9,
510,1232817869,9,1.0
511,1239285057,9,1.0
512,1242555983,4,1.0
